City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,66.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
1,Nanortalik,GL,50.27,overcast clouds,60.14,-45.24,"NTS Rooms, Nanortalik"
2,Busselton,AU,59.0,clear sky,-33.65,115.33,Observatory Guest House
3,Hambantota,LK,77.0,scattered clouds,6.12,81.12,Bungalow 63
4,Ribeirao Branco,BR,55.36,clear sky,-24.22,-48.77,Restaurante Hotel Andorinhas
5,Bissau,GW,78.57,light rain,11.86,-15.6,Pensão Creola
8,Cidreira,BR,62.46,scattered clouds,-30.18,-50.21,Hotel Castelo
9,Hobart,AU,59.0,scattered clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
10,Wroclaw,PL,51.8,overcast clouds,51.1,17.03,PURO Hotel Wrocław Stare Miasto
12,Atuona,PF,78.69,overcast clouds,-9.8,-139.03,Villa Enata
13,Faanui,PF,77.9,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
15,Mazagao,BR,86.0,broken clouds,-0.12,-51.29,Casa Lima Santos
16,Port Lincoln,AU,59.65,clear sky,-34.73,135.87,Port Lincoln Hotel
17,Hami,CN,73.58,overcast clouds,42.8,93.45,Laoyutang Resort
18,San Cristobal,VE,65.95,broken clouds,7.77,-72.22,Pirineos
19,Teya,RU,56.3,clear sky,60.38,92.63,
21,Sao Felix Do Xingu,BR,76.77,few clouds,-6.64,-51.99,Apart Hotel Rio Xingu
22,Buala,SB,84.24,light rain,-8.14,159.59,Maringe Lagoon Lodge
